Date, Open, High, Low, Close
07/01/11, 5945.76, 5999.04, 5936.96, 5989.76
06/30/11, 5856.24, 5945.71, 5856.24, 5945.71
06/29/11, 5766.98, 5860.92, 5766.98, 5855.95
06/28/11, 5723.63, 5795.10, 5723.63, 5766.88
06/27/11, 5697.50, 5728.43, 5679.60, 5722.34
06/24/11, 5674.50, 5768.54, 5674.50, 5697.72
06/23/11, 5772.93, 5772.93, 5663.30, 5674.38
06/22/11, 5775.32, 5789.12, 5741.82, 5772.99
06/21/11, 5693.52, 5778.07, 5692.97, 5775.31
06/20/11, 5714.82, 5714.82, 5647.23, 5693.39
06/17/11, 5698.78, 5733.20, 5644.98, 5714.94
06/16/11, 5739.76, 5739.76, 5644.38, 5698.81
06/15/11, 5803.11, 5803.35, 5742.55, 5742.55
06/14/11, 5773.48, 5822.60, 5773.48, 5803.13
06/13/11, 5765.97, 5793.84, 5763.42, 5773.46
06/10/11, 5856.35, 5866.95, 5758.33, 5765.80
06/09/11, 5808.92, 5861.17, 5795.00, 5856.34
06/08/11, 5864.61, 5864.61, 5791.80, 5808.89
06/07/11, 5863.04, 5890.58, 5849.23, 5864.65
06/06/11, 5854.54, 5881.06, 5827.51, 5863.16
06/03/11, 5848.29, 5868.19, 5802.67, 5855.01
06/02/11, 5926.39, 5926.39, 5847.92, 5847.92
06/01/11, 5990.05, 5995.22, 5911.68, 5928.61
05/31/11, 5938.96, 6009.98, 5938.96, 5989.99
05/30/11, 5938.87, 5951.37, 5881.06, 5938.87
05/27/11, 5881.06, 5951.37, 5881.06, 5938.87
05/26/11, 5870.20, 5910.77, 5866.67, 5880.99
05/25/11, 5858.16, 5881.18, 5810.46, 5870.14
05/24/11, 5838.06, 5884.66, 5838.05, 5858.41
05/23/11, 5948.37, 5948.37, 5833.44, 5835.89
05/20/11, 5961.76, 6017.56, 5927.74, 5948.49
05/19/11, 5926.04, 6003.92, 5925.98, 5955.99
05/18/11, 5861.04, 5934.51, 5860.65, 5923.49
05/17/11, 5923.73, 5942.81, 5861.00, 5861.00
05/16/11, 5925.83, 5936.19, 5862.16, 5923.69
05/13/11, 5945.37, 6001.33, 5919.91, 5925.87
05/12/11, 5976.44, 5976.44, 5882.39, 5944.96
05/11/11, 6019.12, 6040.24, 5965.26, 5976.00
05/10/11, 5942.97, 6023.11, 5940.06, 6018.89
05/09/11, 5976.60, 5999.90, 5922.23, 5942.69
05/06/11, 5920.04, 5984.92, 5871.57, 5976.77
05/05/11, 5984.05, 6009.10, 5912.61, 5919.98
05/04/11, 6083.84, 6083.84, 5972.83, 5984.07
05/03/11, 6070.12, 6103.73, 6050.71, 6082.88
05/02/11, 6069.90, 6091.75, 6051.04, 6069.90
04/29/11, 6069.90, 6091.75, 6051.04, 6069.90
04/28/11, 6068.26, 6091.75, 6051.04, 6069.90
04/27/11, 6069.38, 6089.40, 6045.87, 6068.16
04/26/11, 6018.27, 6070.59, 6006.95, 6069.36
04/25/11, 6018.30, 6049.37, 6005.76, 6018.30
04/22/11, 6018.30, 6049.37, 6005.76, 6018.30
04/21/11, 6022.35, 6049.37, 6005.76, 6018.30
04/20/11, 5896.97, 6033.79, 5896.97, 6022.26
04/19/11, 5870.17, 5922.21, 5870.17, 5896.87
04/18/11, 5996.07, 5997.46, 5858.32, 5870.08
04/15/11, 5963.79, 5996.76, 5963.55, 5996.01
04/14/11, 6010.48, 6010.48, 5943.75, 5963.80
04/13/11, 5964.50, 6043.36, 5964.50, 6010.44
04/12/11, 6053.63, 6053.63, 5958.28, 5964.47
04/11/11, 6052.29, 6070.78, 6044.52, 6053.44
04/08/11, 6008.78, 6066.39, 6008.19, 6055.75
04/07/11, 6041.14, 6053.12, 6007.37, 6007.37
04/06/11, 6007.12, 6056.37, 6007.12, 6041.13
04/05/11, 6017.22, 6026.30, 5989.05, 6007.06
04/04/11, 6009.67, 6035.12, 5987.70, 6016.98
04/01/11, 5910.64, 6014.77, 5910.64, 6009.92
